,x_name,y_name,protein_uniprot
3235582,A1BG,schizophrenia,M0R009
3235583,ABCA1,schizophrenia,L8E884
3235584,ACHE,schizophrenia,Q61266
3235585,ACP1,schizophrenia,P32463
3235586,ACTB,schizophrenia,G8FSY7
3235587,ADARB1,schizophrenia,A0A0A0MSG8
3235588,ADCY7,schizophrenia,A0A669KBF7
3235589,ADCYAP1,schizophrenia,Q53BH1
3235590,ADCYAP1R1,schizophrenia,Q6S992
3235591,ADK,schizophrenia,A0A5F9ZH83
3235592,ADM,schizophrenia,E9PL83
3235593,ADORA1,schizophrenia,A0A087X173
3235594,ADORA2A,schizophrenia,X5DNB4
3235595,ADRA1A,schizophrenia,E7EW16
3235596,ADRA2A,schizophrenia,P08913
3235597,ADSS2,schizophrenia,P30520
3235598,AGA,schizophrenia,H0Y8L9
3235599,AGER,schizophrenia,Q101R5
3235600,JAG1,schizophrenia,B7U6M9
3235601,AKT1,schizophrenia,X2CV47
3235602,ALDH1A1,schizophrenia,Q5SYQ9
3235603,ALDH3A1,schizophrenia,Q6PKA6
3235604,ALDH3B1,schizophrenia,A0A087X2D4
3235605,ALK,schizophrenia,B2MXE5
3235606,ALOX12,schizophrenia,K7ENN9
3235607,ANK3,schizophrenia,Q9WUD7
3235608,APBA2,schizophrenia,H0YNE8
3235609,APC,schizophrenia,J3JSM6
3235610,APOA4,schizophrenia,Q13784
3235611,APOD,schizophrenia,C9JX71
3235612,APOE,schizophrenia,A0A0S2Z3J5
3235613,APOH,schizophrenia,J3KS17
3235614,FAS,schizophrenia,E6Y7C4
3235615,AQP4,schizophrenia,H0Y3H5
3235616,ARHGAP1,schizophrenia,A0A2X0SSA9
3235617,ARVCF,schizophrenia,C9JJX6
3235618,ASAH1,schizophrenia,A0A1B0GUQ5
3235619,ATF4,schizophrenia,A0A6Q8PF56
3235620,ATM,schizophrenia,Q8TDS1
3235621,ATP2A2,schizophrenia,A0A0S2Z425
3235622,AVP,schizophrenia,S6BQ34
3235623,AVPR1A,schizophrenia,X5D789
3235624,BAG1,schizophrenia,J3QTA2
3235625,CCND1,schizophrenia,Q5MGB2
3235626,BCL2,schizophrenia,A0A1L4AQQ5
3235627,BCL9,schizophrenia,Q1JQ81
3235628,BDNF,schizophrenia,A0A1B4Z9M7
3235629,BID,schizophrenia,A0A2P1N6T5
3235630,BRCA1,schizophrenia,A0A1B4Z9N9
3235631,BTC,schizophrenia,A0A0S2Z3I5
3235632,KLF5,schizophrenia,Q5T6X2
3235633,BTG1,schizophrenia,Q6IBC8
3235634,C1QB,schizophrenia,Q6LDZ7
3235635,CACNA1B,schizophrenia,Q9HBI4
